Epoch [1/100], Loss: 0.6168, Val Loss: 0.2920, Val Acc: 0.9174
Epoch [2/100], Loss: 0.2654, Val Loss: 0.2164, Val Acc: 0.9371
Epoch [3/100], Loss: 0.1950, Val Loss: 0.1792, Val Acc: 0.9474
Epoch [4/100], Loss: 0.1499, Val Loss: 0.1633, Val Acc: 0.9505
Epoch [5/100], Loss: 0.1338, Val Loss: 0.1467, Val Acc: 0.9555
Epoch [6/100], Loss: 0.1061, Val Loss: 0.1367, Val Acc: 0.9583
Epoch [7/100], Loss: 0.0945, Val Loss: 0.1343, Val Acc: 0.9617
Epoch [8/100], Loss: 0.0777, Val Loss: 0.1358, Val Acc: 0.9590
Epoch [9/100], Loss: 0.0697, Val Loss: 0.1383, Val Acc: 0.9583
Epoch [10/100], Loss: 0.0578, Val Loss: 0.1430, Val Acc: 0.9626
Epoch [11/100], Loss: 0.0569, Val Loss: 0.1351, Val Acc: 0.9607
Epoch [12/100], Loss: 0.0500, Val Loss: 0.1455, Val Acc: 0.9605
Epoch [13/100], Loss: 0.0490, Val Loss: 0.1482, Val Acc: 0.9605
Epoch [14/100], Loss: 0.0427, Val Loss: 0.1448, Val Acc: 0.9621
Epoch [15/100], Loss: 0.0406, Val Loss: 0.1251, Val Acc: 0.9667
Epoch [16/100], Loss: 0.0409, Val Loss: 0.1430, Val Acc: 0.9645
Epoch [17/100], Loss: 0.0332, Val Loss: 0.1432, Val Acc: 0.9657
Epoch [18/100], Loss: 0.0321, Val Loss: 0.1557, Val Acc: 0.9631
Epoch [19/100], Loss: 0.0318, Val Loss: 0.1394, Val Acc: 0.9690
Epoch [20/100], Loss: 0.0274, Val Loss: 0.1519, Val Acc: 0.9638
Epoch [21/100], Loss: 0.0298, Val Loss: 0.1560, Val Acc: 0.9669
Epoch [22/100], Loss: 0.0319, Val Loss: 0.1593, Val Acc: 0.9650
Epoch [23/100], Loss: 0.0260, Val Loss: 0.1676, Val Acc: 0.9638
Epoch [24/100], Loss: 0.0263, Val Loss: 0.1761, Val Acc: 0.9621
Epoch [25/100], Loss: 0.0291, Val Loss: 0.1564, Val Acc: 0.9669
Epoch [26/100], Loss: 0.0274, Val Loss: 0.1528, Val Acc: 0.9664
Epoch [27/100], Loss: 0.0234, Val Loss: 0.1654, Val Acc: 0.9650
Epoch [28/100], Loss: 0.0240, Val Loss: 0.1575, Val Acc: 0.9643
Epoch [29/100], Loss: 0.0228, Val Loss: 0.1527, Val Acc: 0.9683
Epoch [30/100], Loss: 0.0243, Val Loss: 0.1766, Val Acc: 0.9662
Epoch [31/100], Loss: 0.0232, Val Loss: 0.1746, Val Acc: 0.9669
Epoch [32/100], Loss: 0.0218, Val Loss: 0.1732, Val Acc: 0.9664
Epoch [33/100], Loss: 0.0203, Val Loss: 0.1714, Val Acc: 0.9652
Epoch [34/100], Loss: 0.0256, Val Loss: 0.1823, Val Acc: 0.9629
Epoch [35/100], Loss: 0.0189, Val Loss: 0.1793, Val Acc: 0.9679
Epoch [36/100], Loss: 0.0203, Val Loss: 0.1752, Val Acc: 0.9679
Epoch [37/100], Loss: 0.0163, Val Loss: 0.1709, Val Acc: 0.9664
Epoch [38/100], Loss: 0.0212, Val Loss: 0.2048, Val Acc: 0.9629
Epoch [39/100], Loss: 0.0205, Val Loss: 0.1775, Val Acc: 0.9660
Epoch [40/100], Loss: 0.0196, Val Loss: 0.1733, Val Acc: 0.9650
Epoch [41/100], Loss: 0.0163, Val Loss: 0.1856, Val Acc: 0.9657
Epoch [42/100], Loss: 0.0166, Val Loss: 0.1870, Val Acc: 0.9669
Epoch [43/100], Loss: 0.0203, Val Loss: 0.1967, Val Acc: 0.9652
Epoch [44/100], Loss: 0.0183, Val Loss: 0.1845, Val Acc: 0.9655
Epoch [45/100], Loss: 0.0165, Val Loss: 0.1908, Val Acc: 0.9650
Epoch [46/100], Loss: 0.0176, Val Loss: 0.2145, Val Acc: 0.9652
Epoch [47/100], Loss: 0.0146, Val Loss: 0.2053, Val Acc: 0.9650
Epoch [48/100], Loss: 0.0176, Val Loss: 0.2115, Val Acc: 0.9626
Epoch [49/100], Loss: 0.0176, Val Loss: 0.2016, Val Acc: 0.9669
Epoch [50/100], Loss: 0.0139, Val Loss: 0.2190, Val Acc: 0.9657
Epoch [51/100], Loss: 0.0178, Val Loss: 0.2139, Val Acc: 0.9667
Epoch [52/100], Loss: 0.0130, Val Loss: 0.2150, Val Acc: 0.9667
Epoch [53/100], Loss: 0.0154, Val Loss: 0.2081, Val Acc: 0.9688
Epoch [54/100], Loss: 0.0178, Val Loss: 0.1882, Val Acc: 0.9667
Epoch [55/100], Loss: 0.0158, Val Loss: 0.2058, Val Acc: 0.9648
Epoch [56/100], Loss: 0.0165, Val Loss: 0.2096, Val Acc: 0.9636
Epoch [57/100], Loss: 0.0155, Val Loss: 0.2166, Val Acc: 0.9664
Epoch [58/100], Loss: 0.0129, Val Loss: 0.2199, Val Acc: 0.9664
Epoch [59/100], Loss: 0.0148, Val Loss: 0.2232, Val Acc: 0.9655
Epoch [60/100], Loss: 0.0147, Val Loss: 0.2023, Val Acc: 0.9664
Epoch [61/100], Loss: 0.0115, Val Loss: 0.2205, Val Acc: 0.9655
Epoch [62/100], Loss: 0.0146, Val Loss: 0.2426, Val Acc: 0.9648
Epoch [63/100], Loss: 0.0173, Val Loss: 0.2323, Val Acc: 0.9667
Epoch [64/100], Loss: 0.0104, Val Loss: 0.2368, Val Acc: 0.9643
Epoch [65/100], Loss: 0.0130, Val Loss: 0.2125, Val Acc: 0.9660
Epoch [66/100], Loss: 0.0137, Val Loss: 0.2258, Val Acc: 0.9660
Epoch [67/100], Loss: 0.0107, Val Loss: 0.2361, Val Acc: 0.9657
Epoch [68/100], Loss: 0.0201, Val Loss: 0.2345, Val Acc: 0.9621
Epoch [69/100], Loss: 0.0176, Val Loss: 0.2145, Val Acc: 0.9660
Epoch [70/100], Loss: 0.0138, Val Loss: 0.2178, Val Acc: 0.9657
Epoch [71/100], Loss: 0.0103, Val Loss: 0.2400, Val Acc: 0.9655
Epoch [72/100], Loss: 0.0135, Val Loss: 0.2102, Val Acc: 0.9645
Epoch [73/100], Loss: 0.0180, Val Loss: 0.2088, Val Acc: 0.9676
Epoch [74/100], Loss: 0.0122, Val Loss: 0.2197, Val Acc: 0.9671
Epoch [75/100], Loss: 0.0147, Val Loss: 0.2120, Val Acc: 0.9667
Epoch [76/100], Loss: 0.0138, Val Loss: 0.2059, Val Acc: 0.9681
Epoch [77/100], Loss: 0.0153, Val Loss: 0.2202, Val Acc: 0.9669
Epoch [78/100], Loss: 0.0144, Val Loss: 0.2331, Val Acc: 0.9657
Epoch [79/100], Loss: 0.0098, Val Loss: 0.2059, Val Acc: 0.9676
Epoch [80/100], Loss: 0.0130, Val Loss: 0.2198, Val Acc: 0.9676
Epoch [81/100], Loss: 0.0155, Val Loss: 0.2132, Val Acc: 0.9671
Epoch [82/100], Loss: 0.0155, Val Loss: 0.2311, Val Acc: 0.9671
Epoch [83/100], Loss: 0.0127, Val Loss: 0.2234, Val Acc: 0.9695
Epoch [84/100], Loss: 0.0092, Val Loss: 0.2338, Val Acc: 0.9686
Epoch [85/100], Loss: 0.0090, Val Loss: 0.2371, Val Acc: 0.9676
Epoch [86/100], Loss: 0.0117, Val Loss: 0.2507, Val Acc: 0.9683
Epoch [87/100], Loss: 0.0112, Val Loss: 0.2456, Val Acc: 0.9674
Epoch [88/100], Loss: 0.0120, Val Loss: 0.2382, Val Acc: 0.9683
Epoch [89/100], Loss: 0.0118, Val Loss: 0.2552, Val Acc: 0.9671
Epoch [90/100], Loss: 0.0107, Val Loss: 0.2475, Val Acc: 0.9669
Epoch [91/100], Loss: 0.0139, Val Loss: 0.2767, Val Acc: 0.9660
Epoch [92/100], Loss: 0.0114, Val Loss: 0.2367, Val Acc: 0.9676
Epoch [93/100], Loss: 0.0174, Val Loss: 0.2530, Val Acc: 0.9674
Epoch [94/100], Loss: 0.0086, Val Loss: 0.2414, Val Acc: 0.9674
Epoch [95/100], Loss: 0.0117, Val Loss: 0.2675, Val Acc: 0.9676
Epoch [96/100], Loss: 0.0150, Val Loss: 0.2420, Val Acc: 0.9660
Epoch [97/100], Loss: 0.0124, Val Loss: 0.2352, Val Acc: 0.9674
Epoch [98/100], Loss: 0.0130, Val Loss: 0.2275, Val Acc: 0.9686
Epoch [99/100], Loss: 0.0122, Val Loss: 0.2456, Val Acc: 0.9690
Epoch [100/100], Loss: 0.0092, Val Loss: 0.2361, Val Acc: 0.9686
